year,week,wins,losses,win-rate
2019,2,19,24,0.4418604651162791
2019,3,26,20,0.5652173913043478
2019,4,27,21,0.5625
2019,5,33,16,0.673469387755102
2019,6,40,11,0.7843137254901961
2019,7,32,16,0.6666666666666666
2019,8,31,21,0.5961538461538461
2019,9,43,18,0.7049180327868853
2019,10,33,22,0.6
2019,11,34,13,0.723404255319149
2019,12,32,16,0.6666666666666666
2019,13,37,14,0.7254901960784313
2019,14,40,18,0.6896551724137931
2019,15,48,16,0.75
2019,16,7,3,0.7
2019,17,1,0,1.0
2019,18,4,5,0.4444444444444444
2019,19,7,2,0.7777777777777778
2019,20,10,5,0.6666666666666666
2019,21,4,2,0.6666666666666666
2019,22,1,0,1.0
2020,2,4,10,0.2857142857142857
2020,3,9,6,0.6
2020,4,20,7,0.7407407407407407
2020,5,14,14,0.5
2020,6,14,13,0.5185185185185185
2020,7,17,10,0.6296296296296297
2020,8,27,17,0.6136363636363636
2020,9,31,12,0.7209302325581395
2020,10,33,15,0.6875
2020,11,35,9,0.7954545454545454
2020,12,28,13,0.6829268292682927
2020,13,33,11,0.75
2020,14,29,16,0.6444444444444445
2020,15,30,17,0.6382978723404256
2020,16,4,5,0.4444444444444444
2020,17,0,0,.0
2020,18,3,0,1.0
2020,19,4,0,1.0
2020,20,4,8,0.3333333333333333
2020,21,4,2,0.6666666666666666
2020,22,1,0,1.0
2021,2,24,22,0.5217391304347826
2021,3,23,22,0.5111111111111111
2021,4,36,16,0.6923076923076923
2021,5,36,22,0.6206896551724138
2021,6,36,25,0.5901639344262295
2021,7,33,18,0.6470588235294118
2021,8,39,12,0.7647058823529411
2021,9,34,19,0.6415094339622641
2021,10,34,19,0.6415094339622641
2021,11,38,21,0.6440677966101694
2021,12,43,17,0.7166666666666667
2021,13,48,14,0.7741935483870968
2021,14,45,15,0.75
2021,15,4,2,0.6666666666666666
2021,16,5,5,0.5
2021,17,0,1,0.0
2021,18,5,3,0.625
2021,19,8,4,0.6666666666666666
2021,20,10,1,0.9090909090909091
2021,21,4,2,0.6666666666666666
2021,22,1,0,1.0
2022,2,22,24,0.4782608695652174
2022,3,28,19,0.5957446808510638
2022,4,35,15,0.7
2022,5,36,24,0.6
2022,6,38,19,0.6666666666666666
2022,7,36,21,0.631578947368421
2022,8,29,22,0.5686274509803921
2022,9,33,19,0.6346153846153846
2022,10,34,13,0.723404255319149
2022,11,40,20,0.6666666666666666
2022,12,43,21,0.671875
2022,13,41,20,0.6721311475409836
2022,14,42,21,0.6666666666666666
2022,15,7,4,0.6363636363636364
2022,16,1,0,1.0
2022,17,,,.
2022,18,,,.
2022,19,,,.
2022,20,,,.
2022,21,,,.
