Rk,Wk,Winner,WPts,,Loser,LPts
1,1,Florida Atlantic,43,,Charlotte,13
2,1,Florida State,47,,Duquesne,7
3,1,Illinois,38,,Wyoming,6
4,1,Nevada,23,@,New Mexico State,12
5,1,Nevada-Las Vegas,52,,Idaho State,21
6,1,North Carolina,56,,Florida A&M,24
7,1,North Texas,31,@,Texas-El Paso,13
8,1,Northwestern,31,N,Nebraska,28
9,1,Utah State,31,,Connecticut,20
10,1,Vanderbilt,63,@,Hawaii,10
11,1,Western Kentucky,38,,Austin Peay,27
12,2,Akron,30,,St. Francis (PA),23
13,2,Alabama-Birmingham,59,,Alabama A&M,0
14,2,Arizona State,40,,Northern Arizona,3
15,2,Central Florida,56,,South Carolina State,10
16,2,Florida International,38,,Bryant,37
17,2,Fresno State,35,,Cal Poly,7
18,2,Minnesota,38,,New Mexico State,0
19,2,Missouri,52,,Louisiana Tech,24
20,2,Northern Illinois,34,,Eastern Illinois,27
21,2,(12) Oklahoma State,58,,Central Michigan,44
22,2,Penn State,35,@,Purdue,31
23,2,(17) Pittsburgh,38,,West Virginia,31
24,2,San Jose State,21,,Portland State,17
25,2,Tennessee,59,,Ball State,10
26,2,Toledo,37,,Long Island,0
27,2,(22) Wake Forest,44,,Virginia Military Institute,10
28,2,Duke,30,,Temple,0
29,2,Eastern Michigan,42,,Eastern Kentucky,34
30,2,Indiana,23,,Illinois,20
31,2,Kansas,56,,Tennessee Tech,10
32,2,(15) Michigan State,35,,Western Michigan,13
33,2,Old Dominion,20,,Virginia Tech,17
34,2,Texas Christian,38,@,Colorado,13
35,2,William & Mary,41,@,Charlotte,24
36,2,Air Force,48,,Northern Iowa,17
37,2,(1) Alabama,55,,Utah State,0
38,2,Arizona,38,@,San Diego State,20
39,2,(19) Arkansas,31,,(23) Cincinnati,24
40,2,Arkansas State,58,,Grambling State,3
41,2,Auburn,42,,Mercer,16
42,2,(10) Baylor,69,,Albany,10
43,2,(25) Brigham Young,50,@,South Florida,21
44,2,California,34,,California-Davis,13
45,2,Coastal Carolina,38,,Army,28
46,2,Connecticut,28,,Central Connecticut State,3
47,2,Delaware,14,@,Navy,7
48,2,Florida,29,,(7) Utah,26
