Rk,Wk,Winner,WPts,,Loser,LPts
1,1,Florida International,,@,Louisiana Tech,
2,1,Hawaii,,@,Vanderbilt,
3,1,Massachusetts,,@,New Mexico State,
4,1,(13) Notre Dame,,N,Navy,
5,1,Ohio,,@,San Diego State,
6,1,San Jose State,,@,(6) Southern California,
7,1,Texas-El Paso,,@,Jacksonville State,
8,2,Arkansas-Pine Bluff,,@,Tulsa,
9,2,Elon,,@,Wake Forest,
10,2,Florida,,@,(14) Utah,
11,2,Kent State,,@,Central Florida,
12,2,Nebraska,,@,Minnesota,
13,2,North Carolina A&T,,@,Alabama-Birmingham,
14,2,North Carolina State,,@,Connecticut,
15,2,Rhode Island,,@,Georgia State,
16,2,South Dakota,,@,Missouri,
17,2,Southern Utah,,@,Arizona State,
18,2,St. Francis (PA),,@,Western Michigan,
19,2,Central Michigan,,@,Michigan State,
20,2,Howard,,@,Eastern Michigan,
21,2,Louisville,,N,Georgia Tech,
22,2,Miami (OH),,@,Miami (FL),
23,2,Missouri State,,@,Kansas,
24,2,Stanford,,@,Hawaii,
25,2,Akron,,@,Temple,
26,2,Alabama A&M,,@,Vanderbilt,
27,2,Albany,,@,Marshall,
28,2,Alcorn State,,@,Southern Mississippi,
29,2,Arkansas State,,@,(20) Oklahoma,
30,2,Army,,@,Louisiana-Monroe,
31,2,Ball State,,@,Kentucky,
32,2,Bethune-Cookman,,@,Memphis,
33,2,Boise State,,@,(10) Washington,
34,2,Bowling Green,,@,Liberty,
35,2,Bryant,,@,Nevada-Las Vegas,
36,2,Bucknell,,@,James Madison,
37,2,Buffalo,,@,(19) Wisconsin,
38,2,California,,@,North Texas,
39,2,Central Arkansas,,@,Oklahoma State,
40,2,Citadel,,@,Georgia Southern,
41,2,Coastal Carolina,,@,UCLA,
42,2,Colgate,,@,Syracuse,
43,2,Colorado,,@,(17) Texas Christian,
44,2,East Carolina,,@,(2) Michigan,
45,2,East Tennessee State,,@,Jacksonville State,
46,2,Eastern Kentucky,,@,Cincinnati,
47,2,Fresno State,,@,Purdue,
48,2,Gardner-Webb,,@,Appalachian State,
49,2,Idaho State,,@,San Diego State,
50,2,Incarnate Word,,@,Texas-El Paso,
51,2,Long Island,,@,Ohio,
52,2,Louisiana Tech,,@,Southern Methodist,
53,2,Maine,,@,Florida International,
54,2,Massachusetts,,@,Auburn,
55,2,Mercer,,@,(22) Mississippi,
56,2,Middle Tennessee State,,@,(4) Alabama,
57,2,Monmouth,,@,Florida Atlantic,
58,2,Nevada,,@,(6) Southern California,
59,2,New Mexico,,@,(23) Texas A&M,
60,2,Northern Arizona,,@,Arizona,
61,2,Northern Illinois,,@,Boston College,
62,2,Northern Iowa,,@,Iowa State,
63,2,Northwestern State,,@,Louisiana,
64,2,(3) Ohio State,,@,Indiana,
65,2,Old Dominion,,@,Virginia Tech,
66,2,Portland State,,@,(15) Oregon,
67,2,Rice,,@,(11) Texas,
68,2,Robert Morris,,@,Air Force,
69,2,Sam Houston State,,@,Brigham Young,
70,2,South Alabama,,@,(24) Tulane,
71,2,South Carolina,,N,(21) North Carolina,
72,2,South Carolina State,,@,Charlotte,
73,2,South Florida,,@,Western Kentucky,
74,2,Southeast Missouri State,,@,(16) Kansas State,
75,2,Southeastern Louisiana,,@,Mississippi State,
76,2,Stephen F. Austin,,@,Troy,
77,2,Tennessee State,,@,(13) Notre Dame,
78,2,Tennessee-Martin,,@,(1) Georgia,
79,2,Texas State,,@,Baylor,
80,2,Texas Tech,,@,Wyoming,
81,2,Texas-San Antonio,,@,Houston,
82,2,Toledo,,@,Illinois,
83,2,Towson,,@,Maryland,
84,2,Utah State,,@,(25) Iowa,
85,2,Virginia,,N,(12) Tennessee,
86,2,Washington State,,@,Colorado State,
87,2,West Virginia,,@,(7) Penn State,
88,2,Western Carolina,,@,Arkansas,
89,2,Western Illinois,,@,New Mexico State,
90,2,Wofford,,@,Pittsburgh,
91,2,(5) Louisiana State,,N,(8) Florida State,
92,2,Northwestern,,@,Rutgers,
93,2,(18) Oregon State,,@,San Jose State,
94,2,(9) Clemson,,@,Duke,
95,3,Murray State,,@,Louisville,
96,3,Illinois,,@,Kansas,
97,3,Air Force,,N,Sam Houston State,
98,3,Alabama-Birmingham,,@,Georgia Southern,
99,3,Appalachian State,,@,(21) North Carolina,
100,3,Arizona,,@,Mississippi State,
101,3,Auburn,,@,California,
102,3,Austin Peay,,@,(12) Tennessee,
103,3,Ball State,,@,(1) Georgia,
104,3,Cal Poly,,@,San Jose State,
105,3,California-Davis,,@,(18) Oregon State,
106,3,Central Florida,,@,Boise State,
107,3,Charleston Southern,,@,(9) Clemson,
108,3,Charlotte,,@,Maryland,
109,3,Cincinnati,,@,Pittsburgh,
110,3,Connecticut,,@,Georgia State,
111,3,Delaware,,@,(7) Penn State,
112,3,Delaware State,,@,Army,
113,3,Duquesne,,@,West Virginia,
114,3,Eastern Illinois,,@,Bowling Green,
115,3,Eastern Kentucky,,@,Kentucky,
116,3,Eastern Michigan,,@,Minnesota,
